연도,도시,인구소멸지수
2019,부산광역시,0.7139796451400438
2019,대구광역시,0.8193359162143901
2019,인천광역시,1.0838622339841106
2019,광주광역시,1.0286889354360453
2019,대전광역시,1.0378399931200013
2019,울산광역시,1.1275451220950807
2019,세종특별자치시,1.584028900399195
2019,수원시,1.504070031450243
2019,성남시,1.1191468150948098
2019,의정부시,0.9581264108352144
2019,안양시,1.1574279379157428
2019,부천시,1.1924976363380337
2019,광명시,1.073426178247165
2019,평택시,1.1183242314693742
2019,동두천시,0.5927197802197802
2019,안산시,1.3951564898649707
2019,고양시,1.105636311538253
2019,과천시,0.9704602999415698
2019,구리시,1.147591113330005
2019,남양주시,0.9650857537958211
2019,오산시,1.694467575726033
2019,시흥시,1.5987357322004403
2019,군포시,1.1708716838115865
2019,의왕시,1.052511415525114
2019,하남시,1.1875158871377733
2019,용인시,1.0781989412874506
2019,파주시,0.9972166793700274
2019,이천시,0.9587057119643929
2019,안성시,0.6976080091379426
2019,김포시,1.1723810380858106
2019,화성시,1.7201879357381025
2019,광주시,1.1121799950202584
2019,양주시,0.7915057311294939
2019,포천시,0.55066228276186
2019,여주시,0.5102146076738502
2019,연천군,0.3732692851087878
2019,가평군,0.371043002450569
2019,양평군,0.38067673429140114
2019,춘천시,0.7498454094750431
2019,원주시,0.895922713343375
2019,강릉시,0.5313353784211283
2019,동해시,0.5145072910740486
2019,태백시,0.3967636533374825
2019,속초시,0.5852706362325467
2019,삼척시,0.42338748592568765
2019,홍천군,0.3467443886902437
2019,횡성군,0.2830173713016578
2019,영월군,0.2698539426102475
2019,평창군,0.2894967885033039
2019,정선군,0.2983862349043497
2019,철원군,0.45703186518977373
2019,화천군,0.48033489096573206
2019,양구군,0.5300308889143118
2019,인제군,0.5211710221634138
2019,고성군,0.2624409535318027
2019,양양군,0.2672939649578196
2019,청주시,1.0905356995299686
2019,충주시,0.5664066535799153
2019,제천시,0.502283105022831
2019,보은군,0.20750830875813323
2019,옥천군,0.2826384742369428
2019,영동군,0.27538300835654594
2019,진천군,0.7028045539291523
2019,괴산군,0.21854033709703813
2019,음성군,0.48751086012163336
2019,단양군,0.24977756687822528
2019,증평군,0.7141297043010753
2019,천안시,1.478343564922915
2019,공주시,0.3979643370498427
2019,보령시,0.36437313586341663
2019,아산시,1.0525513302580403
2019,서산시,0.6144290097997163
2019,논산시,0.3698627799016931
2019,계룡시,1.0529025191675794
2019,당진시,0.6133258084928086
2019,금산군,0.25211433816298434
2019,부여군,0.21917776491024898
2019,서천군,0.192552250359394
2019,청양군,0.2160170092133239
2019,홍성군,0.44314466807516956
2019,예산군,0.26478060543426774
2019,태안군,0.2610597556949488
2019,전주시,0.9380268576147379
2019,군산시,0.6378767964491177
2019,익산시,0.6232430875576037
2019,정읍시,0.33294520428911556
2019,남원시,0.32135848359614894
2019,김제시,0.26777504755865567
2019,완주군,0.4667817299514733
2019,진안군,0.22069494425107664
2019,무주군,0.22114271007592332
2019,장수군,0.23140839218944745
2019,임실군,0.22564260427889796
2019,순창군,0.24343030171947658
2019,고창군,0.2214100513046836
2019,부안군,0.24290334171757097
2019,목포시,0.770256205534724
2019,여수시,0.6034111542163176
2019,순천시,0.8140495365815142
2019,나주시,0.5298017260545304
2019,광양시,0.9965805572623087
2019,담양군,0.2886773947473573
2019,곡성군,0.21220596314238627
2019,구례군,0.23177646577424446
2019,고흥군,0.1509673636896619
2019,보성군,0.18369821709491346
2019,화순군,0.3596192853799345
2019,장흥군,0.23415080090623633
2019,강진군,0.23161827135337068
2019,해남군,0.2530969376007368
2019,영암군,0.3336713628626272
2019,무안군,0.5073401119066242
2019,함평군,0.19489406500855375
2019,영광군,0.31252294037171746
2019,장성군,0.3010518961301091
2019,완도군,0.23530344346502632
2019,진도군,0.2178988326848249
2019,신안군,0.17995043281491327
2019,포항시,0.7041106654246589
2019,경주시,0.4676181157920485
2019,김천시,0.46622206966442736
2019,안동시,0.4238463195304507
2019,구미시,1.6382160336389329
2019,영주시,0.3254605485311222
2019,영천시,0.3252131772191702
2019,상주시,0.2613467357300374
2019,문경시,0.2775806806782315
2019,경산시,0.793874425727412
2019,군위군,0.15300758120745947
2019,의성군,0.1461665212755646
2019,청송군,0.17290552584670232
2019,영양군,0.17689500746392436
2019,영덕군,0.1876742258720711
2019,청도군,0.17874206427122194
2019,고령군,0.2551101251782602
2019,성주군,0.24875151331719128
2019,칠곡군,0.8164427440163715
2019,예천군,0.28227264227388893
2019,봉화군,0.18166568436324068
2019,울진군,0.30743474621413897
2019,울릉군,0.3499554764024933
2019,진주시,0.7605191118320997
2019,통영시,0.5734279306478047
2019,사천시,0.46713461033849385
2019,김해시,1.2203853246010046
2019,밀양시,0.3119365113642498
2019,거제시,1.283485397658626
2019,양산시,1.052764082660233
2019,의령군,0.1980646168253473
2019,함안군,0.3892263533809492
2019,창녕군,0.2686229000884173
2019,남해군,0.16880254416071036
2019,하동군,0.21082258334729437
2019,산청군,0.18804646771479003
2019,함양군,0.2207807617766879
2019,거창군,0.3186247471961758
2019,합천군,0.16147608414619816
2019,제주시,0.9525272161741836
2019,서귀포시,0.5988241238344587
