도시,인구소멸지수,구분
화성시,1.72,상위
오산시,1.69,상위
구미시,1.64,상위
시흥시,1.6,상위
세종특별자치시,1.58,상위
수원시,1.5,상위
천안시,1.48,상위
안산시,1.4,상위
거제시,1.28,상위
김해시,1.22,상위
의성군,0.15,하위
고흥군,0.15,하위
군위군,0.15,하위
합천군,0.16,하위
남해군,0.17,하위
청송군,0.17,하위
영양군,0.18,하위
청도군,0.18,하위
신안군,0.18,하위
봉화군,0.18,하위
