도시,인구소멸지수,구분
화성시,1.64,상위
오산시,1.55,상위
시흥시,1.51,상위
세종특별자치시,1.5,상위
구미시,1.48,상위
수원시,1.39,상위
천안시,1.38,상위
안산시,1.29,상위
하남시,1.15,상위
거제시,1.12,상위
군위군,0.13,하위
의성군,0.14,하위
고흥군,0.14,하위
합천군,0.15,하위
청송군,0.16,하위
남해군,0.16,하위
신안군,0.16,하위
영양군,0.16,하위
봉화군,0.16,하위
청도군,0.16,하위
