도시,인구소멸지수,구분
화성시,1.32,상위
세종특별자치시,1.19,상위
시흥시,1.14,상위
수원시,1.12,상위
오산시,1.12,상위
천안시,1.06,상위
구미시,1.05,상위
안산시,0.98,상위
평택시,0.98,상위
하남시,0.97,상위
의성군,0.1,하위
합천군,0.11,하위
봉화군,0.11,하위
고흥군,0.11,하위
청송군,0.12,하위
청도군,0.12,하위
산청군,0.12,하위
남해군,0.12,하위
신안군,0.12,하위
보성군,0.12,하위
