도시,인구소멸지수,구분
화성시,1.42,상위
세종특별자치시,1.29,상위
시흥시,1.26,상위
오산시,1.25,상위
수원시,1.2,상위
구미시,1.18,상위
천안시,1.16,상위
안산시,1.1,상위
하남시,1.05,상위
평택시,1.03,상위
군위군,0.11,하위
의성군,0.11,하위
고흥군,0.12,하위
합천군,0.12,하위
봉화군,0.12,하위
청송군,0.13,하위
신안군,0.13,하위
청도군,0.13,하위
남해군,0.13,하위
산청군,0.13,하위
